file,jsx_strings,attr_strings,total_hardcoded,t_calls
pages/PrivacyPolicy.jsx,64,0,64,0
pages/Settings.jsx,56,7,63,4
pages/AILab.jsx,55,4,59,0
pages/StorefrontHub.jsx,50,4,54,0
pages/APIKeys.jsx,46,1,47,0
components/ailab/SquadBoard.jsx,37,8,45,0
components/theme/ThemeEnginePanel.jsx,23,22,45,0
pages/VisualEngine.jsx,29,16,45,0
components/theme/LayerStyleForm.jsx,5,34,39,0
pages/CardArena.jsx,38,0,38,0
components/storefront/StorefrontCustomizationPanel.jsx,13,24,37,0
components/ailab/CommandCenterMissionBuilder.jsx,14,22,36,0
pages/UserSettings.jsx,19,15,34,0
components/cards/Marketplace.jsx,28,3,31,0
components/ailab/DiscoverMarketplace.jsx,26,4,30,0
components/ailab/SharedWorkspacePanel.jsx,21,9,30,0
pages/SecurityTestRunner.jsx,19,11,30,0
pages/AppReview.jsx,27,1,28,0
pages/CreatureLab.jsx,27,1,28,0
pages/NFTs.jsx,26,2,28,0
components/ailab/CommandCenterDashboard.jsx,27,0,27,0
pages/AdminBlockchain.jsx,20,7,27,0
pages/ComplianceCenter.jsx,26,0,26,0
components/ailab/BotFineTuningWorkbench.jsx,21,4,25,0
components/ailab/KnowledgeBaseManager.jsx,16,8,24,0
components/portfolio/InvestmentJournalPanel.jsx,19,5,24,0
components/telegram/TelegramBotDashboard.jsx,20,4,24,0
pages/AdminReviewCenter.jsx,10,14,24,0
components/ailab/PromptLibraryPanel.jsx,18,5,23,0
pages/BotAutomations.jsx,10,13,23,0
components/ailab/MultiAgentOrchestrator.jsx,21,1,22,0
components/builder/WebsiteGeneratorEditor.jsx,21,0,21,0
components/AlertManager.jsx,15,4,19,0
components/ailab/BotTrainingPanel.jsx,15,4,19,0
components/bot-farm/BotFarmMissionSimulatorPanel.jsx,18,1,19,0
components/builder/WebsiteGeneratorThemeControls.jsx,1,18,19,0
components/escrow/EscrowProfilePanel.jsx,13,6,19,0
pages/SystemBuilder.jsx,14,5,19,0
pages/TelegramApps.jsx,18,1,19,0
components/ailab/AgentTaskBuilder.jsx,11,7,18,0
components/ailab/BotMonitoringDashboard.jsx,18,0,18,0
pages/AdminEconomyDashboard.jsx,14,4,18,0
components/ailab/BotMarketplace.jsx,15,2,17,0
